Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Object Date,Object Begin Date,Object End Date,Dimensions,Credit Line,Classification,Link Resource,Repository
6268,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6268,"Metropolitan Museum of Art, New York, NY"
6269,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6269,"Metropolitan Museum of Art, New York, NY"
6270,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6270,"Metropolitan Museum of Art, New York, NY"
6271,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6271,"Metropolitan Museum of Art, New York, NY"
6272,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6272,"Metropolitan Museum of Art, New York, NY"
6273,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6273,"Metropolitan Museum of Art, New York, NY"
6274,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6274,"Metropolitan Museum of Art, New York, NY"
6275,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6275,"Metropolitan Museum of Art, New York, NY"
6276,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6276,"Metropolitan Museum of Art, New York, NY"
6277,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6277,"Metropolitan Museum of Art, New York, NY"
6278,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6278,"Metropolitan Museum of Art, New York, NY"
6279,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6279,"Metropolitan Museum of Art, New York, NY"
6280,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6280,"Metropolitan Museum of Art, New York, NY"
6281,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6281,"Metropolitan Museum of Art, New York, NY"
6282,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6282,"Metropolitan Museum of Art, New York, NY"
6283,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6283,"Metropolitan Museum of Art, New York, NY"
6284,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6284,"Metropolitan Museum of Art, New York, NY"
6285,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6285,"Metropolitan Museum of Art, New York, NY"
6286,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6286,"Metropolitan Museum of Art, New York, NY"
6287,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6287,"Metropolitan Museum of Art, New York, NY"
6288,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6288,"Metropolitan Museum of Art, New York, NY"
