last_name,first_name,birth,death,function,languages,raw_entry,author_id
Helm,Linai Taliaferro,,,author,en,"Helm, Linai T. (Linai Taliaferro), -1838",20823
Gordon,Nelly Kinzie,,,editor,en,"Gordon, Nelly Kinzie [Editor]",20824
Hasluck,Paul Nooncree,1854,1931,editor,en,"Hasluck, Paul N. (Paul Nooncree), 1854-1931 [Editor]",20825
Hall,Albert Neely,1883,,author,en,"Hall, A. Neely (Albert Neely), 1883-",20826
Loring,Caleb William,1819,1897,author,en,"Loring, Caleb William, 1819-1897",20827
Allnutt,Sidney,1874,1931,author,en,"Allnutt, Sidney, 1874-1931",20828
Ffoulkes,Charles John,1868,1947,author,en,"Ffoulkes, Charles John, 1868-1947",20829
Field,Cyril,1859,1942,author,en,"Field, Cyril, 1859-1942",20830
Gárdonyi,Géza,1863,1922,author,hu,"Gárdonyi, Géza, 1863-1922",20831
Ryan,Charles Edward,,,author,en,"Ryan, Charles Edward",20832
Richard,Margaret Alice,1870,,author,en,"Richard, Margaret A. (Margaret Alice), 1870-",20833
Raymond,Percy Edward,1879,1952,author,en,"Raymond, Percy E. (Percy Edward), 1879-1952",20834
Merck & Co.,,,,author,en,Merck & Co.,20835
Porter,James A.,1836,1897,author,en,"Porter, James A., 1836-1897",20836
Arany,János,1817,1882,author,hu,"Arany, János, 1817-1882",20837
Rossi,Kendall,,,illustrator,en,"Rossi, Kendall [Illustrator]",20838
Gribble,Francis Henry,1862,1946,author,en,"Gribble, Francis Henry, 1862-1946",20839
Deam,Charles Clemon,1865,1953,author,en,"Deam, Charles Clemon, 1865-1953",20840
Hutchins,B. L.,1858,1935,author,en,"Hutchins, B. L., 1858-1935",20841
Mallon,James Joseph,1880,,contributor,en,"Mallon, J. J. (James Joseph), 1880- [Contributor]",20842
Cook,Stanley Arthur,1873,1949,author,en,"Cook, Stanley Arthur, 1873-1949",20843
Iqbal,"Muhammad, Sir",1877,1938,author,en,"Iqbal, Muhammad, Sir, 1877-1938",20844
Burwell,Letitia M.,,,author,en,"Burwell, Letitia M.",20845
Turcas,Jules,,,illustrator,en,"Turcas, Jules [Illustrator]",20846
Burghard,Frédéric François,1864,1947,editor,en,"Burghard, F. F. (Frédéric François), 1864-1947 [Editor]",20847
Diehl,Alice Mangold,1844,1912,author,en,"Diehl, Alice M. (Alice Mangold), 1844-1912",20848
Thiede,Adolf,,,illustrator,en,"Thiede, Adolf [Illustrator]",20849
Adams,William Davenport,1851,1904,editor,en,"Adams, William Davenport, 1851-1904 [Editor]",20850
Greenbie,Sydney,1889,1960,author,en,"Greenbie, Sydney, 1889-1960",20851
Huish,Marcus Bourne,1845,1921,author,en,"Huish, Marcus B. (Marcus Bourne), 1845-1921",20852
Wheaton,Elizabeth Ryder,1844,,author,en,"Wheaton, Elizabeth Ryder, 1844-",20853
Simont,Marc,,,illustrator,en,"Simont, Marc [Illustrator]",20854
Stern,Maximilian,1878,,author,en,"Stern, Maximilian, 1878-",20855
Adams,Edward,1877,,author,en,"Adams, Edward, 1877-",20856
Lewi,Maurice J.,1857,,editor,en,"Lewi, Maurice J., 1857- [Editor]",20857
Lee,Margaret L.,1871,1955,editor,en,"Lee, Margaret L., 1871-1955 [Editor]",20858
Gomme,Alice Bertha,1853,1938,author,en,"Gomme, Alice Bertha, 1853-1938",20859
Winckler,Ruby,1886,,illustrator,en,"Winckler, Ruby, 1886- [Illustrator]",20860
Avary,Myrta Lockett,1857,1946,author,en,"Avary, Myrta Lockett, 1857-1946",20861
Raisson,Horace,1798,1854,author,fr,"Raisson, Horace, 1798-1854",20862
Howe,Walter Henry,1848,,author,en,"Howe, W. H. (Walter Henry), 1848-",20863
Furst,Herbert,1874,1945,author,en,"Furst, Herbert, 1874-1945",20864
Elder,Marc,1884,1933,author,fr,"Elder, Marc, 1884-1933",20865
Barnett,Charles Zachary,1813,1849,author,en,"Barnett, C. Z. (Charles Zachary), 1813?-1849",20866
Williamson,George C.,1858,1942,editor,en,"Williamson, George C., 1858-1942 [Editor]",20867
Royle,Charles,1882,1936,author,en,"Royle, Charles, 1882-1936",20868
Airola,Väinö,1888,1931,author,fi,"Airola, Väinö, 1888-1931",20869
Wall,William Edmund,1858,1934,author,en,"Wall, William E. (William Edmund), 1858-1934",20870
Wilson,George Grafton,1863,1951,author,en,"Wilson, George Grafton, 1863-1951",20871
