Text#,Title,Authors,Subjects,Bookshelves
66143,Paradise Planet,"Shaver, Richard S., 1907-1975",Science fiction; Short stories; Life on other planets -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66144,Milk Run,"Locke, Robert Donald",Science fiction; Short stories; Space ships -- Fiction; Human-alien encounters -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66145,Religio Journalistici,"Morley, Christopher, 1890-1957",Journalism; American essays -- 20th century,Browsing: History - American; Browsing: Journalism/Media/Writing; Browsing: Literature
66146,The Cream of the Jest: A comedy of evasions,"Cabell, James Branch, 1879-1958",Fantasy fiction; Authors -- Fiction; Allegories; Dreams -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66147,"The Story of Rome, From the Earliest Times to the Death of Augustus, Told to Boys and Girls","Macgregor, Mary; Heath, Dudley, 1867-1945 [Illustrator]; Rainey, W. (William), 1852-1936 [Illustrator]; Woodroffe, Paul, 1875-1954 [Illustrator]",Rome -- History -- Juvenile literature,Browsing: Children & Young Adult Reading; Browsing: History - European; Browsing: History - General
66148,"The Wizard of Wall Street and His Wealth; or, The Life and Deeds of Jay Gould","White, Trumbull, 1868-1941","Businessmen -- United States -- Biography; Gould, Jay, 1836-1892; Capitalists and financiers -- United States -- Biography",Browsing: Biographies; Browsing: Business/Management; Browsing: History - American
66150,Gleaner Tales,"Sellar, Robert, 1841-1919",Historical fiction; Short stories; Frontier and pioneer life -- Québec (Province) -- Fiction,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Literature; Browsing: Fiction
66151,Lesson for Today,"Nydahl, Joel",Science fiction; Short stories; Mothers and sons -- Fiction; Human-alien encounters -- Fiction; Apocalyptic fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66152,"Report on the Migration of Birds in the Spring and Autumn of 1887. Ninth Report
(Vol. II, No. 4.)","Harvie-Brown, J. A. (John Alexander), 1844-1916; Barrington, Richard Manliffe, 1849-1915; Clarke, William Eagle, 1853-1938; Cordeaux, John, 1831-1899; More, Alexander Goodman, 1830-1895",Birds -- Migration -- Great Britain -- Periodicals; Birds -- Migration -- Ireland -- Periodicals,Browsing: Nature/Gardening/Animals; Browsing: Science - General
66153,"The Neptunian, or Water Theory of Creation","Woodman, J. M.",Religion and science; Creation; Bible and science,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
66154,The Music Master,"Wallace, F. L. (Floyd L.), 1915-2004",Science fiction; Musicians -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66155,No Sons Left to Die!,"Annas, Hal",Science fiction; War stories; Man-woman relationships -- Fiction; Human-alien encounters -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
66156,Suspense: A Napoleonic Novel,"Conrad, Joseph, 1857-1924","War stories; Napoleonic Wars, 1800-1815 -- Fiction",Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction
66157,"Joe Napyank; or, The River Rifles","Ellis, Edward Sylvester, 1840-1916",Indians of North America -- Fiction; Frontier and pioneer life -- Fiction; Irish Americans -- Fiction; Dime novels; Indian captivities -- Fiction; Hunters -- Fiction; Ohio River Valley -- Fiction; Flatboats -- Fiction,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction
66160,The Origin of Metallic Currency and Weight Standards,"Ridgeway, William, 1853-1926",Weights and measures -- History; Money -- Origin,Browsing: Culture/Civilization/Society; Browsing: Economics; Browsing: History - General
66161,Special Detective (Ashton-Kirk),"McIntyre, John T. (John Thomas), 1871-1951",Detective and mystery stories; American fiction -- 20th century,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction
66162,The Seven Lamps of Advocacy,"Parry, Edward Abbott, Sir, 1863-1943",Legal ethics; Lawyers,Browsing: Law & Criminology; Browsing: Philosophy & Ethics
