Text#,Title,Authors,Subjects,Bookshelves
18137,Little Fuzzy,"Piper, H. Beam, 1904-1964",Science fiction; Human-alien encounters -- Fiction,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
18138,The Loves of Great Composers,"Kobbé, Gustav, 1857-1918","Beethoven, Ludwig van, 1770-1827; Liszt, Franz, 1811-1886; Wagner, Richard, 1813-1883; Mozart, Wolfgang Amadeus, 1756-1791; Chopin, Frédéric, 1810-1849; Schumann, Robert, 1810-1856; Mendelssohn-Bartholdy, Felix, 1809-1847",Browsing: Biographies; Browsing: Music
18139,Rip Foster in Ride the Gray Planet,"Goodwin, Harold L. (Harold Leland), 1914-1990",Science fiction; Space flight -- Juvenile fiction,Science Fiction; Browsing: Children & Young Adult Reading; Browsing: Science-Fiction & Fantasy
18140,An Alabaster Box,"Freeman, Mary Eleanor Wilkins, 1852-1930; Kingsley, Florence Morse, 1859-1937; Mulford, Stockton, 1886-1960 [Illustrator]",New England -- Social life and customs -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
18145,Lady Rosamond's Secret: A Romance of Fredericton,"Armour, Rebecca Agatha, 1845-1891",Fredericton (N.B.) -- Fiction; New Brunswick -- Social life and customs -- 19th century -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
18146,The Children's Portion,"Shoppell, R. W. (Robert W.) [Editor]",Children's stories,Children's Anthologies; Browsing: Children & Young Adult Reading; Browsing: Literature
18149,Conjuror's House: A Romance of the Free Forest,"White, Stewart Edward, 1873-1946","Canada, Northern -- Fiction",Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
18150,The Hidden Places,"Sinclair, Bertrand W., 1881-1972","Western stories; Psychological fiction; World War, 1914-1918 -- Veterans -- Fiction; Disfigured persons -- Fiction; Blind women -- Fiction; Vancouver (B.C.) -- Fiction",Browsing: Literature; Browsing: Fiction
18151,Time Crime,"Piper, H. Beam, 1904-1964; Freas, Kelly, 1922-2005 [Illustrator]",Science fiction,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy
18153,"Oscar; Or, The Boy Who Had His Own Way","Aimwell, Walter, 1822-1859",Conduct of life -- Juvenile fiction; Children's stories; Boys -- Juvenile fiction; Boston (Mass.) -- Juvenile fiction; Obedience -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Fiction
18154,"Calumet ""K""","Merwin, Samuel, 1874-1936; Webster, Henry Kitchell, 1875-1932",Psychological fiction; Engineers -- Fiction; Grain elevators -- Design and construction -- Fiction,Browsing: Engineering & Construction; Browsing: Literature; Browsing: Psychiatry/Psychology; Browsing: Fiction
18155,The Story of the Three Little Pigs,"Brooke, L. Leslie (Leonard Leslie), 1862-1940",Fairy tales,Children's Picture Books; Browsing: Children & Young Adult Reading; Browsing: Literature
18156,We and the World: A Book for Boys. Part II,"Ewing, Juliana Horatia, 1841-1885",Sea stories,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction
18158,The Butterfly House,"Freeman, Mary Eleanor Wilkins, 1852-1930; Meylan, Paul Julian, 1882-1961 [Illustrator]",New Jersey -- Social life and customs -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
18160,In the World War,"Czernin von und zu Chudenitz, Ottokar Theobald Otto Maria, Graf, 1872-1932","World War, 1914-1918; Austria -- Politics and government -- 1867-1918",World War I; Browsing: History - European; Browsing: History - General; Browsing: History - Warfare
18161,"The Works of the Right Honourable Edmund Burke, Vol. 08 (of 12)","Burke, Edmund, 1729-1797",Great Britain -- Politics and government -- 1760-1820; Political science -- Early works to 1800,Browsing: History - British; Browsing: History - General; Browsing: Politics
18163,Patriotic Plays and Pageants for Young People,"Mackay, Constance D'Arcy, 1887?-1966","Patriotic plays, American; Pageants",Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature
18164,Potash & Perlmutter: Their Copartnership Ventures and Adventures,"Glass, Montague, 1877-1934",Jewish fiction; Jews -- New York (State) -- New York -- Fiction; Clothing trade -- New York (State) -- New York -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
18165,Russian Rambles,"Hapgood, Isabel Florence, 1850-1928",Russia -- Description and travel,Browsing: History - European; Browsing: Travel & Geography
18168,The Heavenly Father: Lectures on Modern Atheism,"Naville, Ernest, 1816-1909; Downton, Henry [Translator]",Atheism; God -- Proof,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
18170,"The Excellence of the Rosary
Conferences for Devotions in Honor of the Blessed Virgin","Frings, Math Josef, 1819-1895",Rosary,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
18171,The Crucifixion of Philip Strong,"Sheldon, Charles M., 1857-1946",Christian fiction,Browsing: Literature; Browsing: Religion/Spirituality/Paranormal; Browsing: Fiction
18172,This World Is Taboo,"Leinster, Murray, 1896-1975",Science fiction; Life on other planets -- Fiction; Space medicine -- Fiction; Quarantine -- Fiction,Science Fiction; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
18173,Tales of the Ridings,"Moorman, F. W. (Frederic William), 1872-1919; Vaughan, Charles Edwyn, 1854-1922 [Commentator]",Yorkshire (England) -- Social life and customs -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
18174,Some Winter Days in Iowa,"Lazell, Frederick John, 1870-1940",Natural history -- Outdoor books; Natural history -- Iowa,Browsing: Nature/Gardening/Animals; Browsing: Science - General; Browsing: Travel & Geography
18175,"Yorksher Puddin'
A Collection of the Most Popular Dialect Stories from the Pen of John Hartley","Hartley, John, 1839-1915",English language -- Dialects -- England -- Yorkshire; Yorkshire (England) -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Language & Communication; Browsing: Literature; Browsing: Fiction
18176,"Yorkshire Tales. Third Series
Amusing sketches of Yorkshire Life in the Yorkshire Dialect","Hartley, John, 1839-1915",English language -- Dialects -- England -- Yorkshire; Yorkshire (England) -- Fiction,United Kingdom; Browsing: Culture/Civilization/Society; Browsing: Language & Communication; Browsing: Fiction
18177,In the Field (1914-1915): The Impressions of an Officer of Light Cavalry,"Dupont, Marcel, 1879-1964","World War, 1914-1918 -- Personal narratives, French",World War I; Browsing: History - General; Browsing: History - Warfare
18180,Tom Slade on Mystery Trail,"Fitzhugh, Percy Keese, 1876-1950; Owen, Robert Emmett, 1878-1957 [Illustrator]",Camps -- Juvenile fiction; Boy Scouts of America -- Juvenile fiction,Children's Book Series; Browsing: Children & Young Adult Reading; Browsing: Fiction
18181,"The Path of Duty, and Other Stories","Caswell, Harriet S. (Harriet Sophia), 1834-1910",Short stories; Family -- Fiction; Friendship -- Fiction; Pastoral fiction; Country life -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
18182,"Heralds of Empire
Being the Story of One Ramsay Stanhope, Lieutenant to Pierre Radisson in the Northern Fur Trade","Laut, Agnes C., 1871-1936","Historical fiction; Northwest, Canadian -- Fiction; Fur traders -- Fiction; Fur trade -- Fiction; Radisson, Pierre Esprit, approximately 1636-1710 -- Fiction",Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Fiction
18183,"Trees, Fruits and Flowers of Minnesota, 1916
Embracing the Transactions of the Minnesota State Horticultural Society,Volume 44, from December 1, 1915, to December 1, 1916, Including the Twelve Numbers of ""The Minnesota Horticulturist"" for 1916","Latham, A. W. [Editor]",Minnesota State Horticultural Society -- Periodicals; Gardening -- Minnesota -- Periodicals; Horticulture -- Minnesota -- Periodicals; Fruit-culture -- Minnesota -- Periodicals,Natural History; Horticulture; Browsing: Environmental Issues; Browsing: Nature/Gardening/Animals; Browsing: Science - Earth/Agricultural/Farming
18184,"Animal Carvings from Mounds of the Mississippi Valley
Second Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1880-81, Government Printing Office, Washington, 1883, pages 117-166","Henshaw, Henry W. (Henry Wetherbee), 1850-1930",Mounds -- Mississippi River Valley; Mound-builders -- Art; Indians of North America -- Mississippi River Valley -- Antiquities; Mississippi River Valley -- Antiquities; Animal sculpture -- Mississippi River Valley,Archaeology; Native America; Browsing: Archaeology; Browsing: Culture/Civilization/Society; Browsing: History - American
18185,The Danger Mark,"Chambers, Robert W. (Robert William), 1865-1933; Wenzell, A. B. (Albert Beck), 1864-1917 [Illustrator]",New York (N.Y.) -- Social life and customs -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
18187,Hebrew Life and Times,"Hunting, Harold B. (Harold Bruce), 1879-1958",Bible. Old Testament -- Textbooks; Jews -- Social life and customs,Judaism; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Religion/Spirituality/Paranormal
18188,Homer and Classical Philology,"Nietzsche, Friedrich Wilhelm, 1844-1900; Levy, Oscar, 1867-1946 [Editor]; Kennedy, J. M. (John McFarland) [Translator]","Speeches, addresses, etc.; Homer; Classical philology",Philosophy; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Philosophy & Ethics
18189,"Growing Nuts in the North
A Personal Story of the Author's Experience of 33 Years with Nut Culture in Minnesota and Wisconsin","Weschcke, Carl, 1894-1973",Nuts -- Minnesota; Nuts -- Wisconsin; Nut trees -- Minnesota; Nut trees -- Wisconsin,Horticulture; Browsing: Cooking & Drinking; Browsing: Nature/Gardening/Animals; Browsing: Science - Earth/Agricultural/Farming
18190,Raggedy Ann Stories,"Gruelle, Johnny, 1880-1938","Children's stories, American; Dolls -- Juvenile fiction",Browsing: Children & Young Adult Reading; Browsing: Fiction
18191,"Essays on the work entitled ""Supernatural Religion""","Lightfoot, J. B. (Joseph Barber), 1828-1889","Apologetics -- History -- 19th century; Cassels, Walter Richard, 1826-1907. Supernatural religion; Fathers of the church",Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
18192,"The Works of the Right Honourable Edmund Burke, Vol. 10 (of 12)","Burke, Edmund, 1729-1797",Great Britain -- Politics and government -- 1760-1820; Political science -- Early works to 1800,Browsing: History - British; Browsing: History - General; Browsing: Politics
18193,Ways of wood folk,"Long, William J. (William Joseph), 1867-1952; Copeland, Charles, 1858-1929 [Illustrator]",Animal behavior,Animals-Wild; Browsing: Nature/Gardening/Animals; Browsing: Science - General
18194,The Life of Buddha and Its Lessons,"Olcott, Henry Steel, 1832-1907",Gautama Buddha,Buddhism; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal
18195,"The Girl's Own Paper, Vol. VIII: No. 353, October 2, 1886.","Various; Peters, Charles, active 1880-1907 [Editor]",Children's literature -- Periodicals,The Girls Own Paper; Browsing: Children & Young Adult Reading; Browsing: Other
18196,"Life and public services of John Quincy Adams, sixth President of the United States, with the eulogy delivered before the Legislature of New York","Seward, William H. (William Henry), 1801-1872","Presidents -- United States -- Biography; Adams, John Quincy, 1767-1848; United States -- Politics and government -- 1825-1829",Browsing: Biographies; Browsing: History - American; Browsing: Politics
18202,The Growth of Thought as Affecting the Progress of Society,"Withington, William",Sociology; Self-interest,Browsing: Culture/Civilization/Society; Browsing: Sociology
18204,Stamp Collecting as a Pastime,"Nankivell, Edward J. (Edward James), 1848-1909",Stamp collecting,Browsing: Culture/Civilization/Society; Browsing: Sociology
18206,"Navaho Houses
Seventeenth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1895-1896, Government Printing Office, Washington, 1898, pages 469-518","Mindeleff, Cosmos, 1863-",Navajo Indians; Indians of North America -- Dwellings,Archaeology; Anthropology; Native America; Browsing: Archaeology; Browsing: Culture/Civilization/Society; Browsing: History - American
18207,Coffee and Repartee,"Bangs, John Kendrick, 1862-1922",Humorous stories; Conversation -- Fiction; Boardinghouses -- Fiction,Browsing: Humour; Browsing: Literature; Browsing: Fiction
18209,"English Seamen in the Sixteenth Century
Lectures Delivered at Oxford Easter Terms 1893-4","Froude, James Anthony, 1818-1894","Great Britain -- History -- Elizabeth, 1558-1603; Great Britain -- History, Naval -- Tudors, 1485-1603; Sailors -- England -- History -- 16th century",Browsing: History - British; Browsing: History - General
18210,The Heptalogia,"Swinburne, Algernon Charles, 1837-1909",Poetry,Browsing: Literature; Browsing: Poetry
18212,Arts and crafts in the Middle Ages,"Addison, Julia de Wolf, 1866-1952","Illumination of books and manuscripts; Decorative arts -- History; Decoration and ornament, Medieval; Arts and crafts movement",Browsing: Art & Photography; Browsing: Culture/Civilization/Society; Browsing: History - Medieval/The Middle Ages
18213,"The Story of the Great War, Volume III (of 12)
The War Begins, Invasion of Belgium, Battle of the Marne","Reynolds, Francis J. (Francis Joseph), 1867-1937 [Editor]; Churchill, Allen L. (Allen Leon), 1873-1940 [Editor]; Miller, Francis Trevelyan, 1877-1959 [Editor]","World War, 1914-1918",World War I; Browsing: History - General; Browsing: History - Warfare
18214,Our Friend the Dog,"Maeterlinck, Maurice, 1862-1949; Aldin, Cecil, 1870-1935 [Illustrator]; Teixeira de Mattos, Alexander, 1865-1921 [Translator]",Dogs,Animals-Domestic; Browsing: Nature/Gardening/Animals; Browsing: Science - General
18216,"Pathfinders of the West
Being the Thrilling Story of the Adventures of the Men Who
Discovered the Great Northwest: Radisson, La Vérendrye,
Lewis and Clark","Laut, Agnes C., 1871-1936","Lewis and Clark Expedition (1804-1806); Radisson, Pierre Esprit, approximately 1636-1710; La Vérendrye, Pierre Gaultier de Varennes, sieur de, 1685-1749; Hearne, Samuel, 1745-1792; Mackenzie, Alexander, Sir, 1763-1820; Northwest, Canadian -- Discovery and exploration",Children's History; Browsing: Children & Young Adult Reading; Browsing: History - American; Browsing: History - General; Browsing: Travel & Geography
18217,"Chambers's Elementary Science Readers
Book I",Various,Science -- Readers,Children's Instructional Books; Browsing: Children & Young Adult Reading; Browsing: Science - General; Browsing: Teaching & Education
18218,"The Works of the Right Honourable Edmund Burke, Vol. 11 (of 12)","Burke, Edmund, 1729-1797",Great Britain -- Politics and government -- 1760-1820; Political science -- Early works to 1800,Browsing: History - British; Browsing: Politics
18219,The Trumpeter Swan,"Bailey, Temple, 1869-1953",Man-woman relationships -- Fiction,Browsing: Literature; Browsing: Fiction
18222,"The Religion of Numa
And Other Essays on the Religion of Ancient Rome","Carter, Jesse Benedict, 1872-1917","Rome -- Religion; Numa Pompilius, King of Rome, active 715 B.C.-673 B.C. -- Religion; Augustus, Emperor of Rome, 63 B.C.-14 A.D. -- Religion",Paganism; Browsing: History - Religious; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
18223,The Essence of Buddhism,"Bowden, Ernest M., 1859-1904 [Compiler]; Arnold, Edwin, Sir, 1832-1904 [Author of introduction, etc.]; Haldeman-Julius, E. (Emanuel), 1888-1951 [Editor]",Buddhism,Buddhism; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
18224,"Someone Comes to Town, Someone Leaves Town","Doctorow, Cory, 1971-",Science fiction; Internet -- Fiction; Toronto (Ont.) -- Fiction,Science Fiction; Browsing: Culture/Civilization/Society; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
18225,The Shield of Silence,"Comstock, Harriet T. (Harriet Theresa), 1860-1943; Loughridge, George [Illustrator]",Man-woman relationships -- Fiction; Children and adults -- Fiction,Browsing: Literature; Browsing: Parenthood & Family Relations; Browsing: Fiction
18226,My Young Days,"Anonymous; Konewka, Paul, 1840-1871 [Illustrator]",Children's stories; Vacations -- Juvenile fiction; Children and death -- Juvenile fiction; Cousins -- Juvenile fiction; Christmas -- Juvenile fiction; Inheritance and succession -- Juvenile fiction; Families -- Juvenile fiction; Silhouettes,Browsing: Children & Young Adult Reading; Browsing: Fiction
18227,Some Spring Days in Iowa,"Lazell, Frederick John, 1870-1940",Natural history -- Outdoor books; Natural history -- Iowa,Browsing: Nature/Gardening/Animals; Browsing: Science - General; Browsing: Travel & Geography
18229,"Transactions of the American Society of Civil Engineers, Vol. LXVIII, Sept. 1910
The New York Tunnel Extension of the Pennsylvania Railroad.
Paper No. 1150","Raymond, Charles W.",Civil engineering -- Periodicals; Railroad tunnels -- Design and construction,Technology; Browsing: Computers & Technology; Browsing: Engineering & Construction
18230,"How to Write a Play
Letters from Augier, Banville, Dennery, Dumas, Gondinet, Labiche, Legouvé, Pailleron, Sardou and Zola","Miles, Dudley H. (Dudley Howe), 1881- [Translator]; Gillette, William, 1853-1937 [Author of introduction, etc.]",Drama -- Technique; Playwriting,Browsing: How To...; Browsing: Literature; Browsing: Performing Arts/Film
18233,"Animal Ghosts; Or, Animal Hauntings and the Hereafter","O'Donnell, Elliott, 1872-1965",Animal ghosts; Extrasensory perception in animals,Horror; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal
18234,A Girl's Student Days and After,"Marks, Jeannette Augustus, 1875-1964; Woolley, Mary Emma, 1863-1947 [Commentator]",Young women -- United States; Students -- United States,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Teaching & Education
18237,A Bird Calendar for Northern India,"Dewar, Douglas, 1875-1957",Birds -- India,Animals-Wild-Birds; Natural History; India; Browsing: Nature/Gardening/Animals; Browsing: Science - General
18238,Songs from Vagabondia,"Carman, Bliss, 1861-1929; Hovey, Richard, 1864-1900",Poetry,Browsing: Literature; Browsing: Poetry
18239,The Road to Mandalay: A Tale of Burma,"Croker, B. M. (Bithia Mary), 1849?-1920",Drug traffic -- Fiction; British -- Burma -- Fiction; Drug abuse -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction
18240,Roumania Past and Present,"Samuelson, James, 1829-",Romania -- Description and travel; Romania -- History,Browsing: History - European; Browsing: History - General; Browsing: Travel & Geography
18241,"Tea-Cup Reading and Fortune-Telling by Tea Leaves, by a Highland Seer",,Fortune-telling by tea leaves,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal
18242,Behind the Arras: A Book of the Unseen,"Carman, Bliss, 1861-1929; Meteyard, Thomas Buford, 1865-1928 [Illustrator]",Poetry,Browsing: Literature; Browsing: Poetry
18247,The Last Man,"Shelley, Mary Wollstonecraft, 1797-1851",Science fiction; Twenty-first century -- Fiction; End of the world -- Fiction; Epidemics -- Fiction,Precursors of Science Fiction; Science Fiction by Women; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
18248,"Lucy Raymond; Or, The Children's Watchword","Machar, Agnes Maule, 1837-1927",Children -- Religious life,Browsing: Parenthood & Family Relations; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
18249,Some Summer Days in Iowa,"Lazell, Frederick John, 1870-1940",Natural history -- Outdoor books; Natural history -- Iowa; Iowa -- Description and travel,Browsing: Nature/Gardening/Animals; Browsing: Science - General; Browsing: Travel & Geography
18250,"The Prose Works of Jonathan Swift, D.D. - Volume 07
Historical and Political Tracts-Irish","Swift, Jonathan, 1667-1745; Scott, Temple, 1864-1939 [Editor]",Ireland -- Politics and government -- 18th century,Politics; Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Literature; Browsing: Politics
18251,Latin for Beginners,"D'Ooge, Benjamin L. (Benjamin Leonard), 1860-1940","Latin language -- Grammar -- Problems, exercises, etc.",Language Education; Browsing: Language & Communication; Browsing: Literature; Browsing: Teaching & Education
18252,Hertfordshire,"Tompkins, Herbert W. (Herbert Winckworth), 1867-; New, E. H. (Edmund Hort), 1871-1931 [Illustrator]",Hertfordshire (England) -- Guidebooks,Browsing: History - European; Browsing: Travel & Geography
18253,"Discovery of Witches
The Wonderfull Discoverie of Witches in the Countie of Lancaster","Potts, Thomas, active 1612-1618; Crossley, James, 1800-1883 [Editor]","Preston, Jennet, -1612; Witchcraft -- England -- Lancashire",Witchcraft; Browsing: History - European; Browsing: History - General; Browsing: Religion/Spirituality/Paranormal
18254,Claverhouse,"Morris, Mowbray, 1847-1911","Graham, John, Viscount Dundee, 1648-1689; Generals -- Scotland -- Biography; Scotland -- History -- 1660-1688 -- Biography",Browsing: Biographies; Browsing: History - British; Browsing: History - General
18256,"Woodside
or, Look, Listen, and Learn.","Hadley, Caroline",Christian life -- Juvenile fiction; Animals -- Juvenile fiction; Country life -- Juvenile fiction; Natural history -- Juvenile fiction; Cousins -- Juvenile fiction; Grandparents -- Juvenile fiction; Storytelling -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Fiction
18257,The Universe — or Nothing,"Moldeven, Meyer, 1917-",Science fiction,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy
18259,Gentle Julia,"Tarkington, Booth, 1869-1946; Brehm, Worth, 1883-1928 [Illustrator]; Gilbert, C. Allan [Illustrator]",Fiction,"Bestsellers, American, 1895-1923; Browsing: Literature; Browsing: Fiction"
18260,More Tales of the Ridings,"Moorman, F. W. (Frederic William), 1872-1919",Yorkshire (England) -- Social life and customs -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
18261,Operation R.S.V.P.,"Piper, H. Beam, 1904-1964",Science fiction; Short stories; Epistolary fiction,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
18264,Within The Enemy's Lines,"Optic, Oliver, 1822-1897","War stories; Steamboats -- Juvenile fiction; United States -- History -- Civil War, 1861-1865 -- Naval operations -- Juvenile fiction",US Civil War; Children's Fiction; Browsing: Children & Young Adult Reading; Browsing: History - American; Browsing: History - Warfare; Browsing: Fiction
18265,"Scientific American Supplement, No. 1178, June 25, 1898",Various,Science -- Periodicals,Scientific American; Browsing: Computers & Technology; Browsing: Science - General
18266,Death—and After?,"Besant, Annie, 1847-1933",Theosophy; Death; Future life,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
18267,"We Philologists
Complete Works of Friedrich Nietzsche, Volume 8","Nietzsche, Friedrich Wilhelm, 1844-1900; Levy, Oscar, 1867-1946 [Editor]; Kennedy, J. M. (John McFarland) [Translator]",Education; Classical philology,Browsing: History - General; Browsing: Philosophy & Ethics; Browsing: Teaching & Education
18268,Ballads of Lost Haven: A Book of the Sea,"Carman, Bliss, 1861-1929",Canadian poetry; Sea poetry,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry
18269,Pascal's Pensées,"Pascal, Blaise, 1623-1662; Eliot, T. S. (Thomas Stearns), 1888-1965 [Author of introduction, etc.]",Apologetics -- Early works to 1800; Catholic Church -- Doctrines -- Early works to 1800; Catholic Church -- Apologetic works -- Early works to 1800,Harvard Classics; Banned Books from Anne Haight's list; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
18270,Confession and Absolution,"Capel, T. J. (Thomas John), 1836-1911",Confession; Absolution,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal
18273,"The Wild Tribes of Davao District, Mindanao
The R. F. Cummings Philippine Expedition","Cole, Fay-Cooper, 1881-1961",Ethnology -- Philippines -- Mindanao Island,Anthropology; Browsing: Culture/Civilization/Society; Browsing: Travel & Geography
18274,"A Book of Natural History
Young Folks' Library Volume XIV.","Jordan, David Starr, 1851-1931 [Editor]",Zoology,Children's Anthologies; Children's Instructional Books; Browsing: Children & Young Adult Reading; Browsing: Nature/Gardening/Animals; Browsing: Science - General
18275,The Rectory Children,"Molesworth, Mrs., 1839-1921; Crane, Walter, 1845-1915 [Illustrator]",Friendship -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction
18276,Essays in Literature and History,"Froude, James Anthony, 1818-1894; Belloc, Hilaire, 1870-1953 [Commentator]",History; Literature,Browsing: History - General; Browsing: Literature
18277,The Training of a Public Speaker,"Kleiser, Grenville, 1868-1953",Oratory,Browsing: Language & Communication; Browsing: Teaching & Education
18278,"Blackwood's Edinburgh Magazine - Volume 61, No. 376, February, 1847",Various,Scotland -- Periodicals; England -- Periodicals,Blackwood's Edinburgh Magazine; Browsing: Culture/Civilization/Society; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - British
18279,"The composition of Indian geographical names, illustrated from the Algonkin languages","Trumbull, J. Hammond (James Hammond), 1821-1897","Names, Indian -- North America; Names, Geographical -- New England; Algonquian Indians -- Names",Native America; Browsing: Culture/Civilization/Society; Browsing: History - American
18280,Enter Bridget,"Cobb, Thomas, 1854-1932",Fiction,Browsing: Literature; Browsing: Fiction
18281,"An Account of the Proceedings on the Trial of Susan B. Anthony, on the Charge of Illegal Voting, at the Presidential Election in Nov., 1872, and on the Trial of Beverly W. Jones, Edwin T. Marsh, and William B. Hall, the Inspectors of Election by Whom Her Vote was Received.",Anonymous,"Women -- Suffrage -- United States; Anthony, Susan B. (Susan Brownell), 1820-1906 -- Trials, litigation, etc.; Election law -- United States",Noteworthy Trials(Bookshelf); Browsing: History - American; Browsing: Law & Criminology; Browsing: Politics
18283,Life of Father Hecker,"Elliott, Walter, 1842-1928","Hecker, Isaac Thomas, 1819-1888; Paulist Fathers -- United States -- Biography; Catholic Church -- United States -- History -- 19th century; Catholic converts -- United States -- Biography",Browsing: Biographies; Browsing: History - American; Browsing: Religion/Spirituality/Paranormal
18284,"For Every Music Lover
A Series of Practical Essays on Music","Moore, Aubertine Woodward, 1841-1929",Music -- History and criticism,Music; Browsing: History - General; Browsing: Music
18285,Tales from the Hindu Dramatists,"Dutta, R. N.; Zemin, J. S. [Editor]",Sanskrit drama -- Adaptations,Hinduism; India; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Religion/Spirituality/Paranormal
18286,The Miller Of Old Church,"Glasgow, Ellen Anderson Gholson, 1873-1945",Young women -- Fiction; Illegitimacy -- Fiction; Southern States -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
18287,"Songs of the Springtides and Birthday Ode
Taken from The Collected Poetical Works of Algernon Charles
Swinburne—Vol. III","Swinburne, Algernon Charles, 1837-1909",Poetry,Poetry; Browsing: Literature; Browsing: Poetry
18288,"Northern Nut Growers Association, report of the proceedings at the sixth annual meeting
Rochester, New York, September 1 and 2, 1915",Northern Nut Growers Association [Editor],Northern Nut Growers Association -- Periodicals; Nut trees -- Periodicals; Nuts -- Periodicals,Northern Nut Growers Association; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Science - Earth/Agricultural/Farming
18290,"Great Indian Chief of the West; Or, Life and Adventures of Black Hawk","Drake, Benjamin, 1794-1841","Black Hawk, Sauk chief, 1767-1838; Black Hawk War, 1832; Keokuk, Sauk chief, 1780?-1848; Sauk Indians -- History; Fox Indians -- History",Native America; Browsing: History - American
18292,S.O.S. Stand to!,"Grant, Reginald","World War, 1914-1918 -- Personal narratives, English",Browsing: History - General; Browsing: History - Warfare
18293,"The Girl's Own Paper, Vol. VIII, No. 354, October 9, 1886","Various; Peters, Charles, active 1880-1907 [Editor]",Children's literature -- Periodicals,The Girls Own Paper; Browsing: Children & Young Adult Reading; Browsing: Encyclopedias/Dictionaries/Reference
18297,The story of a summer,"Cleveland, Cecilia Pauline, 1850-1901",Greeley family; Chappaqua (N.Y.),Women's Travel Journals; Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: Travel & Geography
18298,Essays in Natural History and Agriculture,"Garnett, Thomas, 1799-1878",Agriculture; Zoology; Salmon,Animals-Wild; Browsing: Nature/Gardening/Animals; Browsing: Science - Earth/Agricultural/Farming; Browsing: Science - Genetics/Biology/Evolution
18299,"The Norwegian account of Haco's expedition against Scotland, A.D. MCCLXIII.","Sturla Þórðarson, 1214-1284; Johnstone, James, -1798 [Translator]","Norway -- History -- 1030-1397; Haakon IV Haakonsson, King of Norway, 1204-1263; Scandinavians; Scotland -- History -- To 1603",Browsing: History - European; Browsing: History - General
