Topics,Subjects_Count
Girls -- Societies and clubs -- Juvenile fiction,57
Space flight to the moon -- Fiction,57
British -- India -- Fiction,57
"English wit and humor, Pictorial",57
Farm life -- Fiction,57
"Holmes, Sherlock (Fictitious character) -- Fiction",56
Italian drama,56
Cowboys -- Fiction,56
Animals,56
Canadian poetry,56
Seafaring life -- Fiction,56
Women -- Social and moral questions,56
Inventors -- Fiction,55
Children -- Juvenile fiction,55
Romance fiction,55
Interstellar travel -- Fiction,55
Canadian fiction,55
Shipwrecks -- Fiction,55
Kentucky -- Fiction,55
Chicago (Ill.) -- Fiction,54
Moon -- Fiction,54
"Humorous stories, American",54
Canada -- Description and travel,54
Free thought,54
Egypt -- Description and travel,54
Literature -- Collections,53
Knights and knighthood -- Fiction,53
Animal behavior,53
Indians of North America,53
French literature -- History and criticism,53
Kings and rulers -- Fiction,53
Spiritualism,53
"France -- History -- Consulate and First Empire, 1799-1815",53
Sailing -- Juvenile fiction,53
Poverty -- Juvenile fiction,53
"English poetry -- Early modern, 1500-1700",53
Philippines -- History -- Sources,53
Middle East -- Description and travel,53
Single women -- Fiction,53
"United States -- History -- Revolution, 1775-1783 -- Juvenile fiction",52
Friendship -- Fiction,52
"Children's poetry, English",52
Parent and child -- Juvenile fiction,52
Ireland -- Periodicals,52
"Children's stories, English",52
Philippines -- Discovery and exploration,52
Scientists -- Fiction,52
Prisoners -- Fiction,52
"United States -- History -- Civil War, 1861-1865",52
Missions -- Philippines,51
Children's literature,51
Thesis (Ph. D.),51
"Speeches, addresses, etc.",51
Apocalyptic fiction,51
Church of England -- Sermons,51
Demarcation line of Alexander VI,51
Human genetics,50
Telepathy -- Fiction,50
Girls -- Fiction,50
French literature -- 19th century,50
Theft -- Juvenile fiction,50
"United States -- History -- Civil War, 1861-1865 -- Juvenile fiction",50
"Children's stories, American",50
New York (N.Y.) -- Juvenile fiction,49
English drama -- 19th century,49
Generals -- United States -- Biography,49
Ranch life -- Fiction,49
Folklore,49
Presidents -- United States -- Biography,49
"History, Modern -- 19th century -- Juvenile literature -- Periodicals",49
Mountain life -- Fiction,49
Illegitimate children -- Fiction,48
"Children's literature, American -- Periodicals",48
"Poets, English -- 19th century -- Biography",48
Camp Fire Girls -- Juvenile fiction,48
Italy -- History,48
Human gene mapping,48
Human Genome Project,48
Religion and science,48
Etiquette,48
"Short stories, French -- Translations into English",48
Autobiographies,48
American drama -- 20th century,48
Art,48
Home economics,48
Paris (France) -- Description and travel,48
Ship captains -- Juvenile fiction,48
India -- Fiction,47
Humorous poetry,47
Political science -- Early works to 1800,47
Arctic regions,47
French fiction,47
France -- History,47
Fathers and daughters -- Drama,47
"Speeches, addresses, etc., American",47
Children of the rich -- Fiction,47
"Science fiction, American",47
"World War, 1914-1918 -- Regimental histories -- Great Britain",47
Teenage boys -- Juvenile fiction,46
Nobility -- Fiction,46
Hunting stories,46
Mothers and sons -- Fiction,46
"India -- History -- British occupation, 1765-1947 -- Fiction",46
High school students -- Juvenile fiction,46
Utopian fiction,46
Women -- Biography,46
Crocheting -- Patterns,45
"Lincoln, Abraham, 1809-1865",45
United States -- Fiction,45
Bees,45
Frontier and pioneer life -- Juvenile fiction,45
College stories,45
Earth (Planet) -- Fiction,45
Asteroids -- Fiction,45
Cookbooks,45
Women -- England -- Fiction,45
Race relations -- Fiction,45
"World War, 1914-1918 -- Personal narratives, English",45
Catholics -- Fiction,45
Animals -- Fiction,44
History,44
Circus -- Juvenile fiction,44
Space flight -- Fiction,44
Great Britain -- Social life and customs -- 19th century -- Fiction,44
London (England) -- Description and travel,44
Pastoral fiction,44
Ranch life -- Juvenile fiction,44
Russia -- Fiction,44
Businessmen -- Fiction,43
Astronomy,43
Football -- Juvenile fiction,43
Great Britain. Army -- History,43
Christmas -- Juvenile fiction,43
Social problems -- Fiction,43
Gold mines and mining -- Fiction,43
English literature -- Periodicals,43
France -- History -- 1789-1815,43
"United States -- History -- Revolution, 1775-1783 -- Sources",42
Presidents -- United States -- Messages,42
Survival -- Fiction,42
Baseball stories,42
American fiction,42
Railroad stories,42
Fables,42
Canada -- History -- To 1763 (New France),42
Youth and death -- Juvenile fiction,42
United States -- Politics and government -- Sources,42
Voyages and travels -- Periodicals,42
Knitting -- Patterns,42
Sex,42
