Text#,Title,Language,Authors,Subjects,Bookshelves
59877,"The New Jersey Law Journal, Volume XLV, No. 2, February, 1922",en,"Various; Honeyman, A. Van Doren (Abraham Van Doren), 1849-1936 [Editor]","Law -- New Jersey -- Periodicals; Law reports, digests, etc. -- New Jersey",Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Law & Criminology
59878,La prigione; Acqua sul fuoco,it,"Morselli, Ercole Luigi, 1882-1921",Italian drama -- 20th century,IT Teatro in prosa; Browsing: Literature; Browsing: Performing Arts/Film; Browsing: Fiction
59879,Américo Vespucio,es,"Pérez Gomar, G. (Gregorio), 1834-1885","Vespucci, Amerigo, 1451-1512",Browsing: History - American
59880,Bird Biographies,en,"Ball, Alice Eliza, 1867-1948; Horsfall, R. Bruce (Robert Bruce), 1869-1948 [Illustrator]",Birds -- United States,Browsing: Nature/Gardening/Animals; Browsing: Science - General
59881,"Bryce Canyon National Park, Utah (1952)",en,United States. National Park Service,Bryce Canyon National Park (Utah) -- Guidebooks,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - American; Browsing: Travel & Geography
59882,Charlemagne,en,"Schmidt, Ferdinand, 1816-1890; Upton, George P. (George Putnam), 1834-1919 [Translator]","Charlemagne, Emperor, 742-814",Browsing: History - European; Browsing: History - General
59883,How to Collect and Preserve Insects,en,"Ross, Herbert H. (Herbert Holdsworth), 1908-1978",Insects -- Collection and preservation,Browsing: How To...; Browsing: Science - General
59884,"Spiritual Folk-Songs of Early America
Two Hundred and Fifty Tunes and Texts, with an Introduction and Notes",en,"Jackson, George Pullen, 1874-1953 [Editor]","Folk songs, English -- United States; Folk music -- United States; Ballads, English -- United States; Hymns, English -- History and criticism; Hymns, English -- United States",Browsing: Culture/Civilization/Society; Browsing: Music
59885,"Wild Animals of the Rockies
With a List of Mammals found in Rocky Mountain National Park",en,"Gilligan, James P. (James Pershing), 1917-",Rocky Mountain National Park (Colo.); Mammals -- Colorado -- Rocky Mountain National Park -- Identification; Mammals -- Rocky Mountains -- Identification,Browsing: History - American; Browsing: Nature/Gardening/Animals; Browsing: Science - General; Browsing: Travel & Geography
59886,Adrienne Lecouvreur,en; fr,"Scribe, Eugène, 1791-1861; Legouvé, Ernest, 1807-1903; Hamilton, Theodore Ely, 1869- [Editor]","Lecouvreur, Adrienne, 1692-1730 -- Drama",FR Théâtre; Browsing: Literature; Browsing: Performing Arts/Film; Browsing: Fiction
